更新时间: 2025-11-12 01:47:31（北京时间）

更新时间,#genre#
2025-11-12 01:47:31,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

甘肃卫视,http://115.211.60.198:8001/rtp/233.50.200.163:5140$浙江电信
青海卫视,http://121.56.186.21:4022/rtp/239.29.1.87:5001$内蒙古电信
新疆卫视,http://121.56.186.21:4022/rtp/239.29.1.59:5001$内蒙古电信
新疆卫视,http://115.211.60.198:8001/rtp/233.50.202.46:5140$浙江电信
西藏卫视,http://121.56.186.21:4022/rtp/239.29.1.79:5001$内蒙古电信
西藏卫视,http://115.211.60.198:8001/rtp/233.50.202.43:5140$浙江电信
三沙卫视,http://121.56.186.21:4022/rtp/239.29.1.121:5000$内蒙古电信
三沙卫视,http://115.211.60.198:8001/rtp/233.50.200.175:5140$浙江电信
兵团卫视,http://121.56.186.21:4022/rtp/239.29.1.34:5001$内蒙古电信
兵团卫视,http://115.211.60.198:8001/rtp/233.50.202.44:5140$浙江电信
延边卫视,http://121.56.186.21:4022/rtp/239.29.0.133:5000$内蒙古电信
农林卫视,http://121.56.186.21:4022/rtp/239.29.0.129:5000$内蒙古电信
山东教育卫视,http://121.56.186.21:4022/rtp/239.29.1.96:5001$内蒙古电信
中国教育1台,http://121.56.186.21:4022/rtp/239.29.0.95:5000$内蒙古电信
中国教育1台,http://115.211.60.198:8001/rtp/233.50.200.169:5140$浙江电信
中国教育1台,http://115.211.60.198:8001/rtp/233.50.201.75:5140$浙江电信
中国教育2台,http://121.56.186.21:4022/rtp/239.29.0.139:5000$内蒙古电信
中国教育4台,http://115.211.60.198:8001/rtp/233.50.200.162:5140$浙江电信
中国教育4台,http://115.211.60.198:8001/rtp/233.50.200.174:5140$浙江电信
中国教育4台,http://115.211.60.198:8001/rtp/233.50.200.141:5140$浙江电信
中国教育4台,http://115.211.60.198:8001/rtp/233.50.201.172:5140$浙江电信

数字频道,#genre#
凤凰卫视中文台,http://115.211.60.198:8001/rtp/233.50.202.35:5140$浙江电信
凤凰卫视资讯台,http://115.211.60.198:8001/rtp/233.50.202.36:5140$浙江电信
纪实人文,http://121.56.186.21:4022/rtp/239.29.0.101:5000$内蒙古电信
金鹰纪实,http://121.56.186.21:4022/rtp/239.29.0.92:5000$内蒙古电信
纪实科教,http://115.211.60.198:8001/rtp/233.50.202.34:5140$浙江电信
睛彩青少,http://115.211.60.198:8001/rtp/233.50.202.28:5140$浙江电信
睛彩竞技,http://115.211.60.198:8001/rtp/233.50.202.26:5140$浙江电信
睛彩篮球,http://115.211.60.198:8001/rtp/233.50.202.27:5140$浙江电信
快乐垂钓,http://115.211.60.198:8001/rtp/233.50.201.109:5140$浙江电信
快乐垂钓,http://115.211.60.198:8001/rtp/233.50.200.123:5140$浙江电信
茶频道,http://115.211.60.198:8001/rtp/233.50.201.188:5140$浙江电信
茶频道,http://115.211.60.198:8001/rtp/233.50.200.124:5140$浙江电信
乐游,http://115.211.60.198:8001/rtp/233.50.201.185:5140$浙江电信
生活时尚,http://115.211.60.198:8001/rtp/233.50.201.187:5140$浙江电信
生活时尚,http://115.211.60.198:8001/rtp/233.50.200.15:5140$浙江电信
都市剧场,http://121.56.186.21:4022/rtp/239.29.0.198:5000$内蒙古电信
都市剧场,http://115.211.60.198:8001/rtp/233.50.201.190:5140$浙江电信
都市剧场,http://115.211.60.198:8001/rtp/233.50.200.11:5140$浙江电信
欢笑剧场,http://121.56.186.21:4022/rtp/239.29.1.114:5000$内蒙古电信
欢笑剧场,http://121.56.186.21:4022/rtp/239.29.0.200:5000$内蒙古电信
欢笑剧场,http://115.211.60.198:8001/rtp/233.50.201.189:5140$浙江电信
欢笑剧场,http://115.211.60.198:8001/rtp/233.50.200.229:5140$浙江电信
欢笑剧场,http://115.211.60.198:8001/rtp/233.50.200.52:5140$浙江电信
游戏风云,http://121.56.186.21:4022/rtp/239.29.0.197:5000$内蒙古电信
游戏风云,http://115.211.60.198:8001/rtp/233.50.201.183:5140$浙江电信
游戏风云,http://115.211.60.198:8001/rtp/233.50.200.14:5140$浙江电信
金色学堂,http://115.211.60.198:8001/rtp/233.50.201.186:5140$浙江电信
金色学堂,http://115.211.60.198:8001/rtp/233.50.200.122:5140$浙江电信
动漫秀场,http://121.56.186.21:4022/rtp/239.29.0.203:5000$内蒙古电信
动漫秀场,http://115.211.60.198:8001/rtp/233.50.201.184:5140$浙江电信
动漫秀场,http://115.211.60.198:8001/rtp/233.50.200.12:5140$浙江电信
卡酷少儿,http://121.56.186.21:4022/rtp/239.29.1.41:5001$内蒙古电信
卡酷少儿,http://115.211.60.198:8001/rtp/233.50.200.166:5140$浙江电信
卡酷少儿,http://115.211.60.198:8001/rtp/233.50.202.33:5140$浙江电信
金鹰卡通,http://121.56.186.21:4022/rtp/239.29.1.85:5001$内蒙古电信
优漫卡通,http://121.56.186.21:4022/rtp/239.29.0.127:5000$内蒙古电信
哈哈炫动,http://121.56.186.21:4022/rtp/239.29.0.128:5000$内蒙古电信
哈哈炫动,http://115.211.60.198:8001/rtp/233.50.200.167:5140$浙江电信
嘉佳卡通,http://121.56.186.21:4022/rtp/239.29.0.126:5000$内蒙古电信

湖北,#genre#

